pert,gene,label,direction,split
AARS,A2M,0,-1,train
AARS,AASDH,0,-1,train
AARS,ACBD6,0,-1,train
AARS,ANGPTL8,1,1,train
AARS,APOOL,0,-1,train
AARS,ARID3A,0,-1,train
AARS,ATAD2B,0,-1,train
AARS,ATP11C,0,-1,train
AARS,BAZ2A,0,-1,train
AARS,BCLAF1,0,-1,train
AARS,BECN1,0,-1,train
AARS,BMP2K,0,-1,train
AARS,BTBD1,0,-1,train
AARS,CALR,1,0,train
AARS,CBFA2T2,0,-1,train
AARS,CCDC50,0,-1,train
AARS,CCPG1,1,1,train
AARS,CEBPB,1,1,train
AARS,CHCHD4,0,-1,train
AARS,COPA,0,-1,train
AARS,CRYAB,0,-1,train
AARS,DAAM1,0,-1,train
AARS,DBI,1,0,train
AARS,DCUN1D3,0,-1,train
AARS,EHBP1L1,0,-1,train
AARS,EIF1,1,1,train
AARS,EIF4A2,0,-1,train
AARS,FAM111A,0,-1,train
AARS,FAM222A,0,-1,train
AARS,FAM86C1,0,-1,train
AARS,FKBP11,0,-1,train
AARS,GARS,1,1,train
AARS,GHITM,1,1,train
AARS,GNAI1,0,-1,train
AARS,GPHA2,0,-1,train
AARS,GXYLT2,0,-1,train
AARS,HCCS,0,-1,train
AARS,HSPA9,1,1,train
AARS,ID2,0,-1,train
AARS,IFFO2,0,-1,train
AARS,IKBIP,0,-1,train
AARS,INSR,0,-1,train
AARS,ISCA1,0,-1,train
AARS,ITFG2,0,-1,train
AARS,KCNC3,0,-1,train
AARS,LAMC1,0,-1,train
AARS,LAMP1,0,-1,train
AARS,LBX2,0,-1,train
AARS,MAP3K2,0,-1,train
AARS,MFSD1,0,-1,train
AARS,MOSPD2,0,-1,train
AARS,MTHFD2,1,1,train
AARS,NDEL1,0,-1,train
AARS,NOC2L,0,-1,train
AARS,NOL10,0,-1,train
AARS,NOL8,0,-1,train
AARS,NPC1,0,-1,train
AARS,NR6A1,0,-1,train
AARS,OTUD7B,0,-1,train
AARS,PEBP1,1,0,train
AARS,PLS1,0,-1,train
AARS,PLTP,0,-1,train
AARS,PPP1CB,0,-1,train
AARS,RAB22A,0,-1,train
AARS,RAD54L,0,-1,train
AARS,RBCK1,1,1,train
AARS,RCAN1,0,-1,train
AARS,RCL1,0,-1,train
