pert,gene,label,direction,split
AAMP,1-mitochondrial respiratory chain,1,0,test_gene
AAMP,2-targets of nonsense-mediated decay,1,1,test_gene
AAMP,4-histone genes,0,-1,test_gene
AAMP,5-cholesterol homeostasis,1,0,test_gene
AAR2,1-mitochondrial respiratory chain,1,0,test_gene
AAR2,2-targets of nonsense-mediated decay,0,-1,test_gene
AAR2,25-ribosome biogenesis,1,1,test_gene
AAR2,4-histone genes,1,0,test_gene
AAR2,5-cholesterol homeostasis,1,0,test_gene
AARS,1-mitochondrial respiratory chain,1,0,test_gene
AARS,2-targets of nonsense-mediated decay,0,-1,test_gene
AARS,25-ribosome biogenesis,1,0,test_gene
AARS,4-histone genes,1,0,test_gene
AARS,5-cholesterol homeostasis,1,0,test_gene
AARS2,1-mitochondrial respiratory chain,1,1,test_gene
AARS2,2-targets of nonsense-mediated decay,1,1,test_gene
AARS2,25-ribosome biogenesis,1,0,test_gene
AARS2,4-histone genes,1,0,test_gene
AARS2,5-cholesterol homeostasis,1,0,test_gene
ABCB10,1-mitochondrial respiratory chain,1,1,test_gene
ABCB10,25-ribosome biogenesis,1,0,test_gene
ABCB10,4-histone genes,0,-1,test_gene
ABCB10,5-cholesterol homeostasis,0,-1,test_gene
ABCB7,1-mitochondrial respiratory chain,1,0,test_gene
ABCB7,2-targets of nonsense-mediated decay,0,-1,test_gene
ABCB7,25-ribosome biogenesis,1,0,test_gene
ABCB7,4-histone genes,0,-1,test_gene
ABCE1,1-mitochondrial respiratory chain,1,0,test_gene
ABCE1,2-targets of nonsense-mediated decay,0,-1,test_gene
ABCE1,5-cholesterol homeostasis,1,0,test_gene
ABO,25-ribosome biogenesis,0,-1,test_gene
ABO,4-histone genes,0,-1,test_gene
ABO,5-cholesterol homeostasis,0,-1,test_gene
ABT1,1-mitochondrial respiratory chain,0,-1,test_gene
ABT1,2-targets of nonsense-mediated decay,1,0,test_gene
ABT1,25-ribosome biogenesis,1,1,test_gene
ABT1,4-histone genes,0,-1,test_gene
ACAD10,2-targets of nonsense-mediated decay,0,-1,test_gene
ACAD10,25-ribosome biogenesis,0,-1,test_gene
ACAD10,4-histone genes,0,-1,test_gene
ACSL3,1-mitochondrial respiratory chain,1,0,test_gene
ACSL3,2-targets of nonsense-mediated decay,0,-1,test_gene
ACSL3,25-ribosome biogenesis,0,-1,test_gene
ACSL3,5-cholesterol homeostasis,1,1,test_gene
ACSS2,1-mitochondrial respiratory chain,1,0,test_gene
ACSS2,2-targets of nonsense-mediated decay,1,1,test_gene
ACSS2,25-ribosome biogenesis,1,0,test_gene
ACSS2,4-histone genes,1,0,test_gene
ACSS2,5-cholesterol homeostasis,1,0,test_gene
ACTL6A,1-mitochondrial respiratory chain,1,1,test_gene
ACTL6A,2-targets of nonsense-mediated decay,0,-1,test_gene
ACTL6A,4-histone genes,1,1,test_gene
