pert,gene,label,split
AAMP,10-unfolded protein response and mTORC1 signaling,0,train
AAMP,11-unfolded protein response and mTORC1 signaling,0,train
AAMP,12-oxidative phosphorylation,1,train
AAMP,14-erythroid differentiation,1,train
AAMP,17-myeloid differentiation,0,train
AAMP,18-cell cycle,0,train
AAMP,19-mitochondrial protein translocation and oxidative phopshorylation,0,train
AAMP,21-growth signaling,1,train
AAMP,22-growth and targets of Myc,1,train
AAMP,3-unfolded protein response,0,train
AAMP,6-dysregulated lncRNA/antisense transcripts,0,train
AAMP,7-translation,0,train
AAMP,8-translation,1,train
AAMP,9-translation,0,train
AAR2,10-unfolded protein response and mTORC1 signaling,0,train
AAR2,11-unfolded protein response and mTORC1 signaling,0,train
AAR2,12-oxidative phosphorylation,1,train
AAR2,15-proteasome genes,1,train
AAR2,16-NFkB signaling,0,train
AAR2,17-myeloid differentiation,0,train
AAR2,18-cell cycle,0,train
AAR2,19-mitochondrial protein translocation and oxidative phopshorylation,0,train
AAR2,21-growth signaling,1,train
AAR2,22-growth and targets of Myc,1,train
AAR2,23-hnRNP genes,0,train
AAR2,24-growth and targets of Myc,0,train
AAR2,3-unfolded protein response,0,train
AAR2,7-translation,1,train
AAR2,8-translation,1,train
AAR2,9-translation,1,train
AARS,10-unfolded protein response and mTORC1 signaling,1,train
AARS,11-unfolded protein response and mTORC1 signaling,1,train
AARS,12-oxidative phosphorylation,1,train
AARS,13-erythroid differentiation,1,train
AARS,14-erythroid differentiation,1,train
AARS,15-proteasome genes,1,train
AARS,17-myeloid differentiation,1,train
AARS,18-cell cycle,1,train
AARS,19-mitochondrial protein translocation and oxidative phopshorylation,1,train
AARS,20-cell cycle,1,train
AARS,22-growth and targets of Myc,1,train
AARS,23-hnRNP genes,1,train
AARS,24-growth and targets of Myc,1,train
AARS,3-unfolded protein response,1,train
AARS,6-dysregulated lncRNA/antisense transcripts,0,train
AARS,7-translation,1,train
AARS,8-translation,1,train
AARS2,10-unfolded protein response and mTORC1 signaling,1,train
AARS2,12-oxidative phosphorylation,1,train
AARS2,13-erythroid differentiation,0,train
AARS2,14-erythroid differentiation,0,train
AARS2,15-proteasome genes,1,train
AARS2,17-myeloid differentiation,0,train
AARS2,19-mitochondrial protein translocation and oxidative phopshorylation,1,train
AARS2,20-cell cycle,0,train
AARS2,22-growth and targets of Myc,1,train
AARS2,23-hnRNP genes,1,train
AARS2,24-growth and targets of Myc,1,train
AARS2,3-unfolded protein response,0,train
AARS2,7-translation,1,train
AARS2,8-translation,1,train
AARS2,9-translation,1,train
ABCB10,10-unfolded protein response and mTORC1 signaling,0,train
ABCB10,11-unfolded protein response and mTORC1 signaling,1,train
ABCB10,12-oxidative phosphorylation,0,train
ABCB10,13-erythroid differentiation,1,train
ABCB10,14-erythroid differentiation,1,train
ABCB10,15-proteasome genes,0,train
ABCB10,18-cell cycle,0,train
ABCB10,19-mitochondrial protein translocation and oxidative phopshorylation,0,train
ABCB10,21-growth signaling,0,train
ABCB10,23-hnRNP genes,1,train
ABCB10,24-growth and targets of Myc,1,train
ABCB10,6-dysregulated lncRNA/antisense transcripts,0,train
ABCB10,9-translation,0,train
ABCB7,10-unfolded protein response and mTORC1 signaling,0,train
